"Attribute1","Attribute2","Acc","Sens","Spec"
"Age","BusinessTravel","0.853211009174312","1","0"
"Age","DailyRate","0.857798165137615","0.994623655913978","0.0625"
"Age","Department","0.853211009174312","1","0"
"Age","DistanceFromHome","0.857798165137615","0.994623655913978","0.0625"
"Age","Education","0.853211009174312","1","0"
"Age","EducationField","0.853211009174312","1","0"
"Age","EnvironmentSatisfaction","0.853211009174312","1","0"
"Age","Gender","0.857798165137615","1","0.03125"
"Age","HourlyRate","0.857798165137615","1","0.03125"
"Age","JobInvolvement","0.862385321100917","1","0.0625"
"Age","JobLevel","0.857798165137615","0.994623655913978","0.0625"
"Age","JobRole","0.871559633027523","1","0.125"
"Age","JobSatisfaction","0.853211009174312","1","0"
"Age","MaritalStatus","0.862385321100917","0.994623655913978","0.09375"
"Age","MonthlyIncome","0.862385321100917","0.994623655913978","0.09375"
"Age","MonthlyRate","0.857798165137615","0.994623655913978","0.0625"
"Age","NumCompaniesWorked","0.853211009174312","1","0"
"Age","OverTime","0.857798165137615","1","0.03125"
"Age","PercentSalaryHike","0.857798165137615","0.994623655913978","0.0625"
"Age","PerformanceRating","0.853211009174312","1","0"
"Age","RelationshipSatisfaction","0.853211009174312","1","0"
"Age","StockOptionLevel","0.857798165137615","0.994623655913978","0.0625"
"Age","TotalWorkingYears","0.857798165137615","0.994623655913978","0.0625"
"Age","TrainingTimesLastYear","0.853211009174312","1","0"
"Age","WorkLifeBalance","0.853211009174312","1","0"
"Age","YearsAtCompany","0.857798165137615","0.994623655913978","0.0625"
"Age","YearsInCurrentRole","0.857798165137615","0.994623655913978","0.0625"
"Age","YearsSinceLastPromotion","0.853211009174312","1","0"
"Age","YearsWithCurrManager","0.857798165137615","0.994623655913978","0.0625"
"Age","MIbyE","0.857798165137615","0.994623655913978","0.0625"
"Age","isSingle","0.857798165137615","0.994623655913978","0.0625"
"Age","SO30","0.853211009174312","0.983870967741935","0.09375"
"Age","isAgeLE22","0.857798165137615","0.994623655913978","0.0625"
"Age","isJL1","0.857798165137615","0.994623655913978","0.0625"
"Age","isJI1","0.853211009174312","1","0"
"BusinessTravel","DailyRate","0.853211009174312","1","0"
"BusinessTravel","Department","0.853211009174312","1","0"
"BusinessTravel","DistanceFromHome","0.853211009174312","1","0"
"BusinessTravel","Education","0.853211009174312","1","0"
"BusinessTravel","EducationField","0.853211009174312","1","0"
"BusinessTravel","EnvironmentSatisfaction","0.853211009174312","1","0"
"BusinessTravel","Gender","0.853211009174312","1","0"
"BusinessTravel","HourlyRate","0.853211009174312","1","0"
"BusinessTravel","JobInvolvement","0.853211009174312","1","0"
"BusinessTravel","JobLevel","0.853211009174312","1","0"
"BusinessTravel","JobRole","0.857798165137615","0.989247311827957","0.09375"
"BusinessTravel","JobSatisfaction","0.853211009174312","1","0"
"BusinessTravel","MaritalStatus","0.853211009174312","1","0"
"BusinessTravel","MonthlyIncome","0.857798165137615","1","0.03125"
"BusinessTravel","MonthlyRate","0.853211009174312","1","0"
"BusinessTravel","NumCompaniesWorked","0.853211009174312","1","0"
"BusinessTravel","OverTime","0.853211009174312","1","0"
"BusinessTravel","PercentSalaryHike","0.853211009174312","1","0"
"BusinessTravel","PerformanceRating","0.853211009174312","1","0"
"BusinessTravel","RelationshipSatisfaction","0.853211009174312","1","0"
"BusinessTravel","StockOptionLevel","0.853211009174312","1","0"
"BusinessTravel","TotalWorkingYears","0.853211009174312","1","0"
"BusinessTravel","TrainingTimesLastYear","0.853211009174312","1","0"
"BusinessTravel","WorkLifeBalance","0.853211009174312","1","0"
"BusinessTravel","YearsAtCompany","0.853211009174312","1","0"
"BusinessTravel","YearsInCurrentRole","0.853211009174312","1","0"
"BusinessTravel","YearsSinceLastPromotion","0.839449541284404","0.983870967741935","0"
"BusinessTravel","YearsWithCurrManager","0.853211009174312","1","0"
"BusinessTravel","MIbyE","0.857798165137615","1","0.03125"
"BusinessTravel","isSingle","0.853211009174312","1","0"
"BusinessTravel","SO30","0.853211009174312","1","0"
"BusinessTravel","isAgeLE22","0.853211009174312","1","0"
"BusinessTravel","isJL1","0.853211009174312","1","0"
"BusinessTravel","isJI1","0.857798165137615","0.994623655913978","0.0625"
"DailyRate","Department","0.853211009174312","1","0"
"DailyRate","DistanceFromHome","0.853211009174312","1","0"
"DailyRate","Education","0.853211009174312","1","0"
"DailyRate","EducationField","0.853211009174312","1","0"
"DailyRate","EnvironmentSatisfaction","0.853211009174312","1","0"
"DailyRate","Gender","0.853211009174312","1","0"
"DailyRate","HourlyRate","0.853211009174312","1","0"
"DailyRate","JobInvolvement","0.853211009174312","1","0"
"DailyRate","JobLevel","0.853211009174312","1","0"
"DailyRate","JobRole","0.853211009174312","1","0"
"DailyRate","JobSatisfaction","0.853211009174312","1","0"
"DailyRate","MaritalStatus","0.853211009174312","1","0"
"DailyRate","MonthlyIncome","0.853211009174312","1","0"
"DailyRate","MonthlyRate","0.853211009174312","1","0"
"DailyRate","NumCompaniesWorked","0.853211009174312","1","0"
"DailyRate","OverTime","0.853211009174312","1","0"
"DailyRate","PercentSalaryHike","0.853211009174312","1","0"
"DailyRate","PerformanceRating","0.853211009174312","1","0"
"DailyRate","RelationshipSatisfaction","0.853211009174312","1","0"
"DailyRate","StockOptionLevel","0.853211009174312","1","0"
"DailyRate","TotalWorkingYears","0.853211009174312","1","0"
"DailyRate","TrainingTimesLastYear","0.853211009174312","1","0"
"DailyRate","WorkLifeBalance","0.853211009174312","1","0"
"DailyRate","YearsAtCompany","0.853211009174312","1","0"
"DailyRate","YearsInCurrentRole","0.853211009174312","1","0"
"DailyRate","YearsSinceLastPromotion","0.834862385321101","0.978494623655914","0"
"DailyRate","YearsWithCurrManager","0.853211009174312","1","0"
"DailyRate","MIbyE","0.853211009174312","1","0"
"DailyRate","isSingle","0.853211009174312","1","0"
"DailyRate","SO30","0.853211009174312","1","0"
"DailyRate","isAgeLE22","0.853211009174312","1","0"
"DailyRate","isJL1","0.853211009174312","1","0"
"DailyRate","isJI1","0.853211009174312","1","0"
"Department","DistanceFromHome","0.853211009174312","1","0"
"Department","Education","0.853211009174312","1","0"
"Department","EducationField","0.830275229357798","0.973118279569892","0"
"Department","EnvironmentSatisfaction","0.853211009174312","1","0"
"Department","Gender","0.853211009174312","1","0"
"Department","HourlyRate","0.853211009174312","1","0"
"Department","JobInvolvement","0.853211009174312","1","0"
"Department","JobLevel","0.853211009174312","1","0"
"Department","JobRole","0.844036697247706","0.962365591397849","0.15625"
"Department","JobSatisfaction","0.853211009174312","1","0"
"Department","MaritalStatus","0.853211009174312","1","0"
"Department","MonthlyIncome","0.857798165137615","1","0.03125"
"Department","MonthlyRate","0.853211009174312","1","0"
"Department","NumCompaniesWorked","0.853211009174312","1","0"
"Department","OverTime","0.853211009174312","1","0"
"Department","PercentSalaryHike","0.853211009174312","1","0"
"Department","PerformanceRating","0.853211009174312","1","0"
"Department","RelationshipSatisfaction","0.853211009174312","1","0"
"Department","StockOptionLevel","0.853211009174312","1","0"
"Department","TotalWorkingYears","0.853211009174312","1","0"
"Department","TrainingTimesLastYear","0.853211009174312","1","0"
"Department","WorkLifeBalance","0.853211009174312","1","0"
"Department","YearsAtCompany","0.853211009174312","1","0"
"Department","YearsInCurrentRole","0.853211009174312","1","0"
"Department","YearsSinceLastPromotion","0.834862385321101","0.978494623655914","0"
"Department","YearsWithCurrManager","0.853211009174312","1","0"
"Department","MIbyE","0.853211009174312","1","0"
"Department","isSingle","0.853211009174312","1","0"
"Department","SO30","0.853211009174312","1","0"
"Department","isAgeLE22","0.853211009174312","1","0"
"Department","isJL1","0.853211009174312","1","0"
"Department","isJI1","0.86697247706422","0.989247311827957","0.15625"
"DistanceFromHome","Education","0.853211009174312","1","0"
"DistanceFromHome","EducationField","0.848623853211009","0.994623655913978","0"
"DistanceFromHome","EnvironmentSatisfaction","0.853211009174312","1","0"
"DistanceFromHome","Gender","0.853211009174312","1","0"
"DistanceFromHome","HourlyRate","0.853211009174312","1","0"
"DistanceFromHome","JobInvolvement","0.853211009174312","1","0"
"DistanceFromHome","JobLevel","0.853211009174312","1","0"
"DistanceFromHome","JobRole","0.857798165137615","1","0.03125"
"DistanceFromHome","JobSatisfaction","0.853211009174312","1","0"
"DistanceFromHome","MaritalStatus","0.853211009174312","1","0"
"DistanceFromHome","MonthlyIncome","0.853211009174312","1","0"
"DistanceFromHome","MonthlyRate","0.853211009174312","1","0"
"DistanceFromHome","NumCompaniesWorked","0.853211009174312","1","0"
"DistanceFromHome","OverTime","0.853211009174312","1","0"
"DistanceFromHome","PercentSalaryHike","0.853211009174312","1","0"
"DistanceFromHome","PerformanceRating","0.853211009174312","1","0"
"DistanceFromHome","RelationshipSatisfaction","0.853211009174312","1","0"
"DistanceFromHome","StockOptionLevel","0.853211009174312","1","0"
"DistanceFromHome","TotalWorkingYears","0.853211009174312","1","0"
"DistanceFromHome","TrainingTimesLastYear","0.853211009174312","1","0"
"DistanceFromHome","WorkLifeBalance","0.853211009174312","1","0"
"DistanceFromHome","YearsAtCompany","0.853211009174312","1","0"
"DistanceFromHome","YearsInCurrentRole","0.853211009174312","1","0"
"DistanceFromHome","YearsSinceLastPromotion","0.844036697247706","0.989247311827957","0"
"DistanceFromHome","YearsWithCurrManager","0.853211009174312","1","0"
"DistanceFromHome","MIbyE","0.853211009174312","1","0"
"DistanceFromHome","isSingle","0.853211009174312","1","0"
"DistanceFromHome","SO30","0.853211009174312","1","0"
"DistanceFromHome","isAgeLE22","0.853211009174312","1","0"
"DistanceFromHome","isJL1","0.853211009174312","1","0"
"DistanceFromHome","isJI1","0.853211009174312","1","0"
"Education","EducationField","0.853211009174312","1","0"
"Education","EnvironmentSatisfaction","0.853211009174312","1","0"
"Education","Gender","0.853211009174312","1","0"
"Education","HourlyRate","0.853211009174312","1","0"
"Education","JobInvolvement","0.853211009174312","1","0"
"Education","JobLevel","0.853211009174312","1","0"
"Education","JobRole","0.857798165137615","1","0.03125"
"Education","JobSatisfaction","0.853211009174312","1","0"
"Education","MaritalStatus","0.853211009174312","1","0"
"Education","MonthlyIncome","0.857798165137615","1","0.03125"
"Education","MonthlyRate","0.853211009174312","1","0"
"Education","NumCompaniesWorked","0.853211009174312","1","0"
"Education","OverTime","0.853211009174312","1","0"
"Education","PercentSalaryHike","0.853211009174312","1","0"
"Education","PerformanceRating","0.853211009174312","1","0"
"Education","RelationshipSatisfaction","0.853211009174312","1","0"
"Education","StockOptionLevel","0.853211009174312","1","0"
"Education","TotalWorkingYears","0.853211009174312","1","0"
"Education","TrainingTimesLastYear","0.853211009174312","1","0"
"Education","WorkLifeBalance","0.853211009174312","1","0"
"Education","YearsAtCompany","0.853211009174312","1","0"
"Education","YearsInCurrentRole","0.853211009174312","1","0"
"Education","YearsSinceLastPromotion","0.853211009174312","1","0"
"Education","YearsWithCurrManager","0.853211009174312","1","0"
"Education","MIbyE","0.853211009174312","1","0"
"Education","isSingle","0.853211009174312","1","0"
"Education","SO30","0.853211009174312","1","0"
"Education","isAgeLE22","0.857798165137615","0.989247311827957","0.09375"
"Education","isJL1","0.853211009174312","1","0"
"Education","isJI1","0.853211009174312","1","0"
"EducationField","EnvironmentSatisfaction","0.848623853211009","0.994623655913978","0"
"EducationField","Gender","0.853211009174312","1","0"
"EducationField","HourlyRate","0.853211009174312","1","0"
"EducationField","JobInvolvement","0.857798165137615","0.989247311827957","0.09375"
"EducationField","JobLevel","0.844036697247706","0.989247311827957","0"
"EducationField","JobRole","0.848623853211009","0.978494623655914","0.09375"
"EducationField","JobSatisfaction","0.853211009174312","1","0"
"EducationField","MaritalStatus","0.853211009174312","1","0"
"EducationField","MonthlyIncome","0.844036697247706","0.989247311827957","0"
"EducationField","MonthlyRate","0.853211009174312","1","0"
"EducationField","NumCompaniesWorked","0.853211009174312","1","0"
"EducationField","OverTime","0.844036697247706","0.989247311827957","0"
"EducationField","PercentSalaryHike","0.853211009174312","1","0"
"EducationField","PerformanceRating","0.853211009174312","1","0"
"EducationField","RelationshipSatisfaction","0.853211009174312","1","0"
"EducationField","StockOptionLevel","0.853211009174312","1","0"
"EducationField","TotalWorkingYears","0.853211009174312","1","0"
"EducationField","TrainingTimesLastYear","0.853211009174312","1","0"
"EducationField","WorkLifeBalance","0.853211009174312","1","0"
"EducationField","YearsAtCompany","0.853211009174312","1","0"
"EducationField","YearsInCurrentRole","0.853211009174312","1","0"
"EducationField","YearsSinceLastPromotion","0.834862385321101","0.978494623655914","0"
"EducationField","YearsWithCurrManager","0.853211009174312","1","0"
"EducationField","MIbyE","0.853211009174312","1","0"
"EducationField","isSingle","0.853211009174312","1","0"
"EducationField","SO30","0.848623853211009","0.994623655913978","0"
"EducationField","isAgeLE22","0.848623853211009","0.994623655913978","0"
"EducationField","isJL1","0.844036697247706","0.989247311827957","0"
"EducationField","isJI1","0.862385321100917","0.994623655913978","0.09375"
"EnvironmentSatisfaction","Gender","0.853211009174312","1","0"
"EnvironmentSatisfaction","HourlyRate","0.853211009174312","1","0"
"EnvironmentSatisfaction","JobInvolvement","0.853211009174312","1","0"
"EnvironmentSatisfaction","JobLevel","0.853211009174312","1","0"
"EnvironmentSatisfaction","JobRole","0.853211009174312","1","0"
"EnvironmentSatisfaction","JobSatisfaction","0.853211009174312","1","0"
"EnvironmentSatisfaction","MaritalStatus","0.853211009174312","1","0"
"EnvironmentSatisfaction","MonthlyIncome","0.853211009174312","1","0"
"EnvironmentSatisfaction","MonthlyRate","0.853211009174312","1","0"
"EnvironmentSatisfaction","NumCompaniesWorked","0.853211009174312","1","0"
"EnvironmentSatisfaction","OverTime","0.853211009174312","1","0"
"EnvironmentSatisfaction","PercentSalaryHike","0.853211009174312","1","0"
"EnvironmentSatisfaction","PerformanceRating","0.853211009174312","1","0"
"EnvironmentSatisfaction","RelationshipSatisfaction","0.853211009174312","1","0"
"EnvironmentSatisfaction","StockOptionLevel","0.853211009174312","1","0"
"EnvironmentSatisfaction","TotalWorkingYears","0.853211009174312","1","0"
"EnvironmentSatisfaction","TrainingTimesLastYear","0.853211009174312","1","0"
"EnvironmentSatisfaction","WorkLifeBalance","0.853211009174312","1","0"
"EnvironmentSatisfaction","YearsAtCompany","0.853211009174312","1","0"
"EnvironmentSatisfaction","YearsInCurrentRole","0.853211009174312","1","0"
"EnvironmentSatisfaction","YearsSinceLastPromotion","0.853211009174312","1","0"
"EnvironmentSatisfaction","YearsWithCurrManager","0.853211009174312","1","0"
"EnvironmentSatisfaction","MIbyE","0.853211009174312","1","0"
"EnvironmentSatisfaction","isSingle","0.853211009174312","1","0"
"EnvironmentSatisfaction","SO30","0.853211009174312","1","0"
"EnvironmentSatisfaction","isAgeLE22","0.853211009174312","1","0"
"EnvironmentSatisfaction","isJL1","0.853211009174312","1","0"
"EnvironmentSatisfaction","isJI1","0.853211009174312","1","0"
"Gender","HourlyRate","0.853211009174312","1","0"
"Gender","JobInvolvement","0.853211009174312","1","0"
"Gender","JobLevel","0.853211009174312","1","0"
"Gender","JobRole","0.853211009174312","1","0"
"Gender","JobSatisfaction","0.853211009174312","1","0"
"Gender","MaritalStatus","0.853211009174312","1","0"
"Gender","MonthlyIncome","0.853211009174312","1","0"
"Gender","MonthlyRate","0.853211009174312","1","0"
"Gender","NumCompaniesWorked","0.853211009174312","1","0"
"Gender","OverTime","0.853211009174312","1","0"
"Gender","PercentSalaryHike","0.853211009174312","1","0"
"Gender","PerformanceRating","0.853211009174312","1","0"
"Gender","RelationshipSatisfaction","0.853211009174312","1","0"
"Gender","StockOptionLevel","0.853211009174312","1","0"
"Gender","TotalWorkingYears","0.853211009174312","1","0"
"Gender","TrainingTimesLastYear","0.853211009174312","1","0"
"Gender","WorkLifeBalance","0.853211009174312","1","0"
"Gender","YearsAtCompany","0.853211009174312","1","0"
"Gender","YearsInCurrentRole","0.853211009174312","1","0"
"Gender","YearsSinceLastPromotion","0.834862385321101","0.978494623655914","0"
"Gender","YearsWithCurrManager","0.853211009174312","1","0"
"Gender","MIbyE","0.853211009174312","1","0"
"Gender","isSingle","0.853211009174312","1","0"
"Gender","SO30","0.853211009174312","1","0"
"Gender","isAgeLE22","0.853211009174312","1","0"
"Gender","isJL1","0.853211009174312","1","0"
"Gender","isJI1","0.853211009174312","1","0"
"HourlyRate","JobInvolvement","0.853211009174312","1","0"
"HourlyRate","JobLevel","0.853211009174312","1","0"
"HourlyRate","JobRole","0.853211009174312","1","0"
"HourlyRate","JobSatisfaction","0.853211009174312","1","0"
"HourlyRate","MaritalStatus","0.853211009174312","1","0"
"HourlyRate","MonthlyIncome","0.853211009174312","1","0"
"HourlyRate","MonthlyRate","0.853211009174312","1","0"
"HourlyRate","NumCompaniesWorked","0.853211009174312","1","0"
"HourlyRate","OverTime","0.853211009174312","1","0"
"HourlyRate","PercentSalaryHike","0.853211009174312","1","0"
"HourlyRate","PerformanceRating","0.853211009174312","1","0"
"HourlyRate","RelationshipSatisfaction","0.853211009174312","1","0"
"HourlyRate","StockOptionLevel","0.853211009174312","1","0"
"HourlyRate","TotalWorkingYears","0.853211009174312","1","0"
"HourlyRate","TrainingTimesLastYear","0.853211009174312","1","0"
"HourlyRate","WorkLifeBalance","0.853211009174312","1","0"
"HourlyRate","YearsAtCompany","0.853211009174312","1","0"
"HourlyRate","YearsInCurrentRole","0.853211009174312","1","0"
"HourlyRate","YearsSinceLastPromotion","0.834862385321101","0.978494623655914","0"
"HourlyRate","YearsWithCurrManager","0.853211009174312","1","0"
"HourlyRate","MIbyE","0.853211009174312","1","0"
"HourlyRate","isSingle","0.853211009174312","1","0"
"HourlyRate","SO30","0.853211009174312","1","0"
"HourlyRate","isAgeLE22","0.853211009174312","1","0"
"HourlyRate","isJL1","0.853211009174312","1","0"
"HourlyRate","isJI1","0.853211009174312","1","0"
"JobInvolvement","JobLevel","0.86697247706422","0.994623655913978","0.125"
"JobInvolvement","JobRole","0.86697247706422","1","0.09375"
"JobInvolvement","JobSatisfaction","0.853211009174312","1","0"
"JobInvolvement","MaritalStatus","0.853211009174312","1","0"
"JobInvolvement","MonthlyIncome","0.853211009174312","1","0"
"JobInvolvement","MonthlyRate","0.853211009174312","1","0"
"JobInvolvement","NumCompaniesWorked","0.853211009174312","1","0"
"JobInvolvement","OverTime","0.862385321100917","0.994623655913978","0.09375"
"JobInvolvement","PercentSalaryHike","0.853211009174312","1","0"
"JobInvolvement","PerformanceRating","0.853211009174312","1","0"
"JobInvolvement","RelationshipSatisfaction","0.853211009174312","1","0"
"JobInvolvement","StockOptionLevel","0.853211009174312","1","0"
"JobInvolvement","TotalWorkingYears","0.853211009174312","1","0"
"JobInvolvement","TrainingTimesLastYear","0.853211009174312","1","0"
"JobInvolvement","WorkLifeBalance","0.853211009174312","1","0"
